checkpoint,checkpoint_sha256,folder,method,optimizer_updates,owner,parameters,policy_id,task,training_receipt,training_seconds,checkpoint_bytes,authorship_audit,prior_document,prior_summary_API_authored,source,source_version,handoff_document
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03/training/last.pt,82061e980997a0dddb24dfbe65b4574f9a3b5ed8be7701fdc3e155ca1b2ea265,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03,APPL_6_xhigh,20000,Runtime API,20186659,insert_blue__h03,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03/training/result.json,3971.8008207499515,404128845,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03/source/PRIOR.md,"Concurrent-goal preserving lookahead, implemented as an amortized selection objective for a learned action diffusion policy. Three bootstrapped action-conditioned transition models score five local alternatives to training-time DDPM clean estimates using exact world-pose containment margins, learned short-horizon remaining-work forecasts, retention of observed red/drawer/blue goals, ensemble disagreement and a learned behavior-support penalty. Detached selections supervise the denoiser. Deployment uses the fixed DDPM sampler, not an unsupported external controller or runtime K-chunk reranker.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03/source,c41784ba63890bf973a2f5d5e078f5693399727f2cf43c6a6cb4d297da90c39b,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03/source/HANDOFF.json
runs/exp2/current/models/naive_DP/two_block_sort/naive_DP/training/last.pt,eac4a4476d2f1caff0ead47337eff21a03056c5348cda8b220b9d2079b124871,runs/exp2/current/models/naive_DP/two_block_sort/naive_DP,naive_DP,60000,Developer baseline,16998408,naive_DP,two_block_sort,runs/exp2/current/models/naive_DP/two_block_sort/naive_DP/training/result.json,1946.7427835510462,340239430,,,,runs/exp2/current/models/naive_DP/two_block_sort/naive_DP/source,,
runs/exp2/current/models/SinglePrior_6_xhigh/two_block_sort/SinglePrior_6_xhigh/training/last.pt,edb72859671e32111fcce4620b3b9921510c672cdc6b8d5d16b6230eb4993ad4,runs/exp2/current/models/SinglePrior_6_xhigh/two_block_sort/SinglePrior_6_xhigh,SinglePrior_6_xhigh,60000,Runtime API,19379044,SinglePrior_6_xhigh,two_block_sort,runs/exp2/current/models/SinglePrior_6_xhigh/two_block_sort/SinglePrior_6_xhigh/training/result.json,1973.1446754969656,387888329,runs/exp2/current/models/SinglePrior_6_xhigh/two_block_sort/SinglePrior_6_xhigh/authorship_audit.json,runs/exp2/current/models/SinglePrior_6_xhigh/two_block_sort/SinglePrior_6_xhigh/source/PRIOR.md,"A goal-relative predictive object-factorization prior: a shared encoder represents each block's two-frame relationship to the TCP and its own pad, and supervised causal relational forecasts condition one absolute-joint epsilon diffusion U-Net alongside the complete normalized observations.",runs/exp2/current/models/SinglePrior_6_xhigh/two_block_sort/SinglePrior_6_xhigh/source,2b0f8ded60ba78662707f7f0d5587013ba2194ed77a18d443292532100288ee5,
runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01/training/last.pt,e813e187f0fc0450a9bbe60a689718be6c3d4647910735b00d1ada9478d71b30,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01,APPL_6_xhigh,20000,Runtime API,20116875,acquire_transport__h01,two_block_sort,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01/training/result.json,1008.4662395790219,402726729,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01/source/PRIOR.md,"Role-relative object-goal binding with a shared two-object graph encoder, learned requested/predecessor role probabilities, and a FiLM-conditioned learned action-chunk epsilon diffusion model. Both object nodes remain available during predecessor disengagement. Because the fixed forward interface has no caller role-ID fields, a causal learned role resolver is supervised for the demonstrated red-then-blue order; there is no scripted action controller.",runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01/source,2e27a89fa5a54dc88d030db29ad45f092757262c47fd9f13712c54600cfd7c44,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02/training/last.pt,23759d06e26ff42003f1c875a0013ff080520b7a92bff2ae6742c35bd8f95022,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02,APPL_6_xhigh,20000,Runtime API,18742319,acquire_transport__h02,two_block_sort,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02/training/result.json,1590.013788337994,375199945,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02/source/PRIOR.md,"Contact belief rather than command state. A learned two-observation recurrent contact filter, soft mode transitions, and a persistent probabilistic gripper decoder condition a joint eight-channel action diffusion model. Masked finger-response and TCP-relative object-transform forecasting provide additional trainable contact/co-motion supervision. The complete expanded acquisition slices include predecessor red descent, opening, retreat, blue approach, closure, lift and initial transport.",runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02/source,2c526aa77e0a1018334f0c542f51d8311e4d9229fe4ea9dc341cb90399b95222,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03/training/last.pt,1f5af57933263b7043c5a719c8797c2472e29c6c421d05387eaa87262f78c35d,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03,APPL_6_xhigh,20000,Runtime API,19629388,acquire_transport__h03,two_block_sort,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03/training/result.json,1698.5159233199665,392913197,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03/source/PRIOR.md,"Height-separated waypoint hierarchy: an eight-step auxiliary pose/duration diffusion with learned phase-conditioned progress produces four local role-relative TCP/requested-object knots. Smooth bounded interpolation conditions the standard learned actuator-action DDPM. Soft prediction-dependent geometry losses favor separated approach, empty retreat/travel, and loaded lift regimes while exempting predecessor lowering.",runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03/source,667429bfe303425f18533aaf252dabbbe89bdd1d1d474c953ae02c4ffb9ab86a,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01/training/last.pt,0369cf7af61890195c487293cb2ce56af15d612ff1b5e34bbff588cd31845d00,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01,APPL_6_xhigh,20000,Runtime API,19859748,deliver_disengage__h01,two_block_sort,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01/training/result.json,953.043022176018,397570017,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01/source/PRIOR.md,"Grasp-frame transport with explicit detachment, implemented as an action-indexed geometric reference denoiser conditioning a learned joint-action DDPM. Separate red and blue future object poses, a free TCP reference, causal attachment probabilities and a learned two-observation grasp-transform filter provide offset-compensated TCP references. Masked prediction losses teach rigidity only across inferred held intervals, not during empty retreat.",runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01/source,965b1493f70038604f1816d01b51c9c20bba7cd757d87c0f24813f30689f4a3c,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02/training/last.pt,1f7ed2f35703766b91e25cc6825565c6bd858b46b3c6cf314bfc8c6ccab966bb,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02,APPL_6_xhigh,20000,Runtime API,18752545,deliver_disengage__h02,two_block_sort,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02/training/result.json,1831.4978191770497,375382297,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02/source/PRIOR.md,"Contract-aware learned action diffusion with a causal placement-window predictor, separate disengagement-readiness predictions, and a recurrent action-conditioned pose/aperture forecast. Analytic rotated-corner containment and centre-height losses train the forecast and, through a detached-parameter forecast, regularize denoised action chunks. Already released contained objects receive a preservation loss. Outcome guidance is amortized during training; this implementation does not change the fixed DDPM sampler or perform online rollout-energy optimization.",runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02/source,e56cd8e526871607e11f70e40fe677e997bcaabd9bc8b90670cd12dfdaf984b0,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03/training/last.pt,ae22ec56bbbf1623393fdaa0851c25e8a17f8f6d256767ba6cc59994ce10682d,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03,APPL_6_xhigh,20000,Runtime API,20075093,deliver_disengage__h03,two_block_sort,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03/training/result.json,1230.6320512150414,401857241,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03/source/PRIOR.md,"Event progress with elastic duration: a two-observation recurrent belief predicts ordered manipulation events, within-event progress, positive nominal and remaining durations, and uncertainty. A learned progress-knot action reference is time-decoded, and a progress-resampled temporal diffusion denoiser is pulled back to physical action timestamps. A separate persistent gripper head conditions a direct-time gripper diffusion score.",runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03/source,ca113f55e656657bff328659dd0f45f03dbe420ad51da371d73cd739983e68cf,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03/source/HANDOFF.json
runs/exp2/current/models/naive_DP/buffer_swap/naive_DP/training/last.pt,ad8ee8ff95cc2b745180201024d88022724098942af0d4c02530fbfaf2a7caac,runs/exp2/current/models/naive_DP/buffer_swap/naive_DP,naive_DP,60000,Developer baseline,16998408,naive_DP,buffer_swap,runs/exp2/current/models/naive_DP/buffer_swap/naive_DP/training/result.json,2188.9396252580336,340239430,,,,runs/exp2/current/models/naive_DP/buffer_swap/naive_DP/source,,
runs/exp2/current/models/SinglePrior_6_xhigh/buffer_swap/SinglePrior_6_xhigh/training/last.pt,c462716e83306a7530dfbaa0d6c07bfcfcd9dce5b132146da07cb7dbe499cce9,runs/exp2/current/models/SinglePrior_6_xhigh/buffer_swap/SinglePrior_6_xhigh,SinglePrior_6_xhigh,60000,Runtime API,19504329,SinglePrior_6_xhigh,buffer_swap,runs/exp2/current/models/SinglePrior_6_xhigh/buffer_swap/SinglePrior_6_xhigh/training/result.json,2457.4080121930456,390399413,runs/exp2/current/models/SinglePrior_6_xhigh/buffer_swap/SinglePrior_6_xhigh/authorship_audit.json,runs/exp2/current/models/SinglePrior_6_xhigh/buffer_swap/SinglePrior_6_xhigh/source/PRIOR.md,"Occupancy-aware object relational conditioning with supervised causal interaction forecasts. A shared two-object encoder represents gripper contact geometry, each object's assigned and opposite goals, and the other object's occupancy of its goal. Learned short-horizon TCP, object and finger forecasts condition one epsilon-prediction diffusion U-Net alongside the full normalized observation history.",runs/exp2/current/models/SinglePrior_6_xhigh/buffer_swap/SinglePrior_6_xhigh/source,3f04f7d1837db77b2c07e576f07ddd2273f065f52b9756ab604ad463cc66ffea,
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h01/training/last.pt,1ce0e5b69b4314cfa07077f96f7122067539eba781f6b01bfe416c4507c880cb,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h01,APPL_6_xhigh,20000,Runtime API,19402517,buffer_red__h01,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h01/training/result.json,959.8765356409713,388415421,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h01/source/PRIOR.md,"Occupancy-conditioned staging graph with learned role probabilities and a probabilistic staging-site prediction conditioning an absolute-joint action diffusion model. A full five-node causal scene graph distinguishes red, blue, their different goal regions, and TCP. A blue-plus-goals layout subgraph proposes a free red buffer; the robot/world branch retains absolute Panda configuration. Training combines masked epsilon MSE, locally available supported-buffer likelihood, five-role cross-entropy, and soft predicted-site footprint/table penalties. All deployment conditioning uses predictions, never future labels or a scripted controller.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h01/source,c0b40033f1ad7342928a3616dec17e52549a55e87bee037dd308ed218cc660f8,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h02/training/last.pt,a353e44285559ce9ad07caadb7a068199e93ef6b3828c5270e98564e292bd9a1,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h02,APPL_6_xhigh,20000,Runtime API,18201960,buffer_red__h02,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h02/training/result.json,1266.7147883630241,364384169,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h02/source/PRIOR.md,"Learned two-frame causal GRU contact belief conditions an action DDPM. Finger aperture, TCP-object relative rotations/translations and backward co-motion support six soft manipulation modes plus independent red/blue support predictions. Learned transitions encourage persistence without a scripted controller. Event-weighted gripper denoising and trainable short-horizon action-conditioned attachment/co-motion forecasts supervise the full red-buffer-to-blue-acquisition slice.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h02/source,cd189a550108275fd22a43d05088bfb9138823f55f8c854ccfe175700cdf08ac,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h03/training/last.pt,c57dbf6a194e3cd8b82006043d9dd3280d286eb5b883b86453893b1ee5973b1b,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h03,APPL_6_xhigh,20000,Runtime API,19691731,buffer_red__h03,buffer_swap,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h03/training/result.json,1417.8261985200224,394214441,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h03/source/PRIOR.md,"Hierarchical learned diffusion: an internally denoised, ordered four-waypoint TCP route with orientation, gripper and within-window timing conditions the fixed joint-action epsilon diffuser. A supervised action-conditioned TCP trajectory predictor couples task geometry to decoded motor trajectories, with weak low-height lateral-sweep regularization.",runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h03/source,e51482666ef647e6b3b86cc5bb44eb2ffe182ceb3da62e56c70a642e84df1fa0,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/buffer_red__h03/source/HANDOFF.json
