task,trajectory_id,path,sha256,actions,observations
two_block_sort,demo10007,data/exp2/scaleup/two_block_sort/demonstrations/demo10007.json,a09898434a30e8a3de934966028cad6ca660705045522086b4a27df8bb256918,760,761
two_block_sort,demo10008,data/exp2/scaleup/two_block_sort/demonstrations/demo10008.json,a52451b885048ccd847106a3f5eb514520828e9f5ace6f445b3f64340c325a9d,775,776
two_block_sort,demo10009,data/exp2/scaleup/two_block_sort/demonstrations/demo10009.json,d139b01c2419e86e82ae85c8bae802a5a745d7c98560b800fa9c3a3927a0310a,773,774
two_block_sort,demo10010,data/exp2/scaleup/two_block_sort/demonstrations/demo10010.json,519d75d04dcf2b5889ea93268d1ce8c63292937e40a5650306bc00fd67cc14a6,774,775
two_block_sort,demo10011,data/exp2/scaleup/two_block_sort/demonstrations/demo10011.json,aee196b9485aa7e4e25e05e1195ac40c2d04e4e79a5bf59cfd5faf566ea6326e,777,778
buffer_swap,demo10100,data/exp2/scaleup/buffer_swap/demonstrations/demo10100.json,8143fbe3be71a1c631f5c7749d18b35e22bc92139fcfff7b5ebbf518d6fc335a,1064,1065
buffer_swap,demo10101,data/exp2/scaleup/buffer_swap/demonstrations/demo10101.json,799625b2044bcc28a7a6eea51a4740935e9cf0d9f22b8374ff1e1fd6775609bf,1064,1065
buffer_swap,demo10102,data/exp2/scaleup/buffer_swap/demonstrations/demo10102.json,fa8a632a17305449d85b05f19a29a04268ec6859c9c22eedc08f8a9e98a25917,1060,1061
buffer_swap,demo10103,data/exp2/scaleup/buffer_swap/demonstrations/demo10103.json,bc5327538d11b7263aa843cfbf7cca57e277f228ab83827e6a6be39d17fb7359,1065,1066
buffer_swap,demo10104,data/exp2/scaleup/buffer_swap/demonstrations/demo10104.json,ab4fdca4a826e13907c3634c17d0cedd822e5736cf37113947d7cd86e096a9a8,1057,1058
buffer_swap,demo10105,data/exp2/scaleup/buffer_swap/demonstrations/demo10105.json,8dca03afe82b1247c339dba887d9f2bd2f2de158810338259d17bdcde391146f,1056,1057
buffer_swap,demo10106,data/exp2/scaleup/buffer_swap/demonstrations/demo10106.json,835849cc15e004b22d320f6fdc36d9c0bcc18a5019712e0ea572dff0a4b0c51a,1059,1060
buffer_swap,demo10107,data/exp2/scaleup/buffer_swap/demonstrations/demo10107.json,2ee06e92d7a0502499d2696e463e66a9bc5e58f2c9beab9b4819cfe9a6a4f7a0,1071,1072
buffer_swap,demo10108,data/exp2/scaleup/buffer_swap/demonstrations/demo10108.json,a267623fe0603dff6f918dfd6f2d08e3da5b313580763e0a482af84e38ab43d6,1058,1059
buffer_swap,demo10109,data/exp2/scaleup/buffer_swap/demonstrations/demo10109.json,5e77ab47c4b0b7e0c67997b120e9215fcf9a4473429c62e0207c5dee631be8a6,1063,1064
buffer_swap,demo10110,data/exp2/scaleup/buffer_swap/demonstrations/demo10110.json,cd8edf45f317ef134effd4d03d206a23dba900ec9d39034ba19d0f51242e60a0,1064,1065
buffer_swap,demo10111,data/exp2/scaleup/buffer_swap/demonstrations/demo10111.json,66f8244ef8020adfb90b028d50deb30d29f68dc21258d3981de4adebf3412646,1061,1062
unstack_sort,demo10200,data/exp2/scaleup/unstack_sort/demonstrations/demo10200.json,907a25e5062deed56b5c3a0052405b5c5e58b905e406fc4d766abc96d66b50a7,732,733
unstack_sort,demo10201,data/exp2/scaleup/unstack_sort/demonstrations/demo10201.json,f543e7179face6fd9d6ff62e9af0ee974f003fd8f344f1714b1467a9e6eb803f,717,718
unstack_sort,demo10202,data/exp2/scaleup/unstack_sort/demonstrations/demo10202.json,905561c7d25d99223d95314ec1f8216a796e9760cfb07f9c7c3c11288c6f2582,729,730
unstack_sort,demo10203,data/exp2/scaleup/unstack_sort/demonstrations/demo10203.json,3f4867e41ae495430a220d20d20067c07997dd086289e90637f8044826ea0411,728,729
unstack_sort,demo10204,data/exp2/scaleup/unstack_sort/demonstrations/demo10204.json,0f0cbfd5286f2db05f4274ac1cb0d085ad8789ceab5634b429edb421d787b115,721,722
unstack_sort,demo10205,data/exp2/scaleup/unstack_sort/demonstrations/demo10205.json,37ce9a5d2515078815ece9507b1e2143d7ca3128cd428865c5d576c786c38804,723,724
unstack_sort,demo10206,data/exp2/scaleup/unstack_sort/demonstrations/demo10206.json,0ab1a86469dc86394397561347559ecbd07df24f0eb2bd2cc944b5b9d7f1a221,729,730
unstack_sort,demo10207,data/exp2/scaleup/unstack_sort/demonstrations/demo10207.json,2f52211b64cabf48cde88b6b7db45f92c58e9bbd5e25491fffe526c08da207e7,739,740
unstack_sort,demo10208,data/exp2/scaleup/unstack_sort/demonstrations/demo10208.json,f61e326e0471e86f79196c073c3bc5dc7c91ea1873cb05355eae26c7db293afa,737,738
unstack_sort,demo10209,data/exp2/scaleup/unstack_sort/demonstrations/demo10209.json,8573919b1c5fc185fdafbe96aec124d20c2140b37dbba7f74e869b3e5facf330,723,724
unstack_sort,demo10210,data/exp2/scaleup/unstack_sort/demonstrations/demo10210.json,8c81d3e2690ae827f038e262064498cbea3aed58757d35a54debfd6a7a1d2001,730,731
unstack_sort,demo10211,data/exp2/scaleup/unstack_sort/demonstrations/demo10211.json,1fc18812a86f4820d0d13a8407d8d17f5ce24c86bea946807a86fffc763f4e47,721,722
tray_pack,demo10300,data/exp2/scaleup/tray_pack/demonstrations/demo10300.json,8b11249b50fbb65ffec84124f817d9f62332e3c1194acfe9b27926cd81455e05,742,743
tray_pack,demo10301,data/exp2/scaleup/tray_pack/demonstrations/demo10301.json,935fddfb0c3edc683e166e7e90419c18e1075e4d0b947fccae73b6f6a2474a83,742,743
tray_pack,demo10302,data/exp2/scaleup/tray_pack/demonstrations/demo10302.json,fd47dfd0441429462f0670a9970f401b0e2bc7b856f948134e8677fb2dd4e50c,752,753
tray_pack,demo10303,data/exp2/scaleup/tray_pack/demonstrations/demo10303.json,d005ac1ef61515c9be49d296af3e6a2a7e2e416ca73a21d2b9e3782d9e6da656,743,744
tray_pack,demo10304,data/exp2/scaleup/tray_pack/demonstrations/demo10304.json,dc380aeb19d2a9b9ba8d1437aabd4c88d2bbb7f23bb06862dea026fbc74986a5,737,738
tray_pack,demo10305,data/exp2/scaleup/tray_pack/demonstrations/demo10305.json,5858718c0ce4547f017cb27a2920b5c557e89af7bb10f14d14c54d2551ef87dd,752,753
tray_pack,demo10306,data/exp2/scaleup/tray_pack/demonstrations/demo10306.json,9d54aaeec42509804076770d9fead3e02b00b2750836208d6277be9d6ff7bae1,749,750
tray_pack,demo10307,data/exp2/scaleup/tray_pack/demonstrations/demo10307.json,31e7304114b6871b987193cd5cd7f961de61115e987889facda9a1471a553843,730,731
tray_pack,demo10308,data/exp2/scaleup/tray_pack/demonstrations/demo10308.json,5e82a2c77432bc12e90db1f7325fbd8b845e3fec2a3117a2f77b52c02ec2e6f3,737,738
tray_pack,demo10309,data/exp2/scaleup/tray_pack/demonstrations/demo10309.json,28797b3ea3d98198477e5484f424f53f46739e214cd8635f716e9fc6c046ef6e,741,742
tray_pack,demo10310,data/exp2/scaleup/tray_pack/demonstrations/demo10310.json,a630426b0107bb066d2087f76462985157214df68b68b121b55b618484ed8bed,730,731
tray_pack,demo10311,data/exp2/scaleup/tray_pack/demonstrations/demo10311.json,1218009057a2d11bc69f4f524e763ffbe2c3e24a5ad66915116e414bb3491055,742,743
