task,condition,seed,blue,red
drawer_exchange,OOD,6401,"[-0.37781532421068414, 0.32696256784296107, 0.02]","[0.06777765091024325, -0.025483364640162445, 0.063]"
drawer_exchange,OOD,6402,"[-0.3928783431960187, 0.2714806166340962, 0.02]","[0.12379155863185388, -0.09922084974809192, 0.063]"
drawer_exchange,OOD,6403,"[-0.37262182942942573, 0.2980981456158538, 0.02]","[0.12643809830788344, -0.03691299074021963, 0.063]"
drawer_exchange,OOD,6404,"[-0.4369111667272978, 0.2713579020348143, 0.02]","[0.09990730155078476, -0.10443882251290289, 0.063]"
drawer_exchange,OOD,6405,"[-0.3812998143540113, 0.2750025946461614, 0.02]","[0.08572733375438352, -0.0334219228662916, 0.063]"
drawer_exchange,OOD,6406,"[-0.3694147594688554, 0.33092398083762453, 0.02]","[0.1343079598590855, -0.09023660989989063, 0.063]"
drawer_exchange,OOD,6407,"[-0.37183636020621536, 0.29548683861092395, 0.02]","[0.06933275263239644, -0.09261131186915092, 0.063]"
drawer_exchange,OOD,6408,"[-0.36970585245623666, 0.30974413008104107, 0.02]","[0.14046257579526122, -0.034388917447251664, 0.063]"
drawer_exchange,OOD,6409,"[-0.4362262480149831, 0.29785612137874823, 0.02]","[0.07079129079191095, -0.09769584023786522, 0.063]"
drawer_exchange,OOD,6410,"[-0.4392116222900411, 0.30149050823169543, 0.02]","[0.12985178684809845, -0.09430352778450583, 0.063]"
drawer_exchange,OOD,6411,"[-0.4328193597817493, 0.28260335982864115, 0.02]","[0.10442542324431989, -0.028238033165352762, 0.063]"
drawer_exchange,OOD,6412,"[-0.36546151432786933, 0.2617530131061444, 0.02]","[0.12178265289347484, -0.029356939275792554, 0.063]"
drawer_exchange,OOD,6413,"[-0.4056432661918845, 0.3284797698385309, 0.02]","[0.13427674888106161, -0.04205806501136312, 0.063]"
drawer_exchange,OOD,6414,"[-0.37605241498843256, 0.32670421678940714, 0.02]","[0.07941936378170651, -0.08434921129397735, 0.063]"
drawer_exchange,OOD,6415,"[-0.42761104942335254, 0.28392552018740713, 0.02]","[0.10887788508391821, -0.09396997105213614, 0.063]"
drawer_exchange,OOD,6416,"[-0.42458191728246947, 0.2819960271952706, 0.02]","[0.06596428901244056, -0.029766461693860533, 0.063]"
drawer_exchange,OOD,6417,"[-0.43282613541664305, 0.2876812257242718, 0.02]","[0.09524468446658943, -0.09398448789578286, 0.063]"
drawer_exchange,OOD,6418,"[-0.3738841799201536, 0.3206802925339997, 0.02]","[0.12559955575505857, -0.027630178555235953, 0.063]"
drawer_exchange,OOD,6419,"[-0.36720729532940555, 0.2730001091698011, 0.02]","[0.13723949271171984, -0.0648006020711498, 0.063]"
drawer_exchange,OOD,6420,"[-0.43094554280084046, 0.30895553927091624, 0.02]","[0.14230021384285613, -0.07468879803784123, 0.063]"
drawer_exchange,OOD,6421,"[-0.3643612085617828, 0.29163454220069185, 0.02]","[0.06904818957490254, -0.04930740272935185, 0.063]"
drawer_exchange,OOD,6422,"[-0.41900518541132553, 0.270658580922774, 0.02]","[0.13003902739166873, -0.07355938623216463, 0.063]"
drawer_exchange,OOD,6423,"[-0.43396078220309797, 0.2766394892317359, 0.02]","[0.13372831663633583, -0.045868382530168485, 0.063]"
drawer_exchange,OOD,6424,"[-0.362223432133245, 0.32718684514076624, 0.02]","[0.13498781977340532, -0.06543739218196781, 0.063]"
drawer_exchange,OOD,6425,"[-0.4325514785047127, 0.2804788179167591, 0.02]","[0.09497686344104897, -0.09358430831010406, 0.063]"
drawer_exchange,OOD,6426,"[-0.384688304467797, 0.26931746342833784, 0.02]","[0.13066203381614966, -0.09826914733200764, 0.063]"
drawer_exchange,OOD,6427,"[-0.3723495097756972, 0.3392661833941747, 0.02]","[0.13864596519360278, -0.030524395779905455, 0.063]"
drawer_exchange,OOD,6428,"[-0.36589603197182974, 0.2650307684539024, 0.02]","[0.09171087650140035, -0.10446835144123844, 0.063]"
drawer_exchange,OOD,6429,"[-0.4196210629625389, 0.27187315596141365, 0.02]","[0.13597298511650746, -0.10153283445775016, 0.063]"
two_block_sort,ID,20000,"[-0.43143213966737404, 0.22447399701526, 0.02]","[-0.4193570537524591, -0.19035203485858707, 0.02]"
two_block_sort,ID,20001,"[-0.40895308957090404, 0.21795524674696826, 0.02]","[-0.4303394744525798, -0.1929278359275946, 0.02]"
two_block_sort,ID,20002,"[-0.41317583869039054, 0.2101070202488226, 0.02]","[-0.41318012325564085, -0.21147681959498715, 0.02]"
two_block_sort,ID,20003,"[-0.4112512391747614, 0.22234968764760663, 0.02]","[-0.42365883357380235, -0.20208534478607343, 0.02]"
two_block_sort,ID,20004,"[-0.43159741018718206, 0.222983421587092, 0.02]","[-0.41632599505420786, -0.19661605017370376, 0.02]"
two_block_sort,ID,20005,"[-0.41003368262311046, 0.22459145236063865, 0.02]","[-0.4227840235834867, -0.20500687759629488, 0.02]"
two_block_sort,ID,20006,"[-0.42864425363346187, 0.22949977796659177, 0.02]","[-0.4273290352918658, -0.210302469815594, 0.02]"
two_block_sort,ID,20007,"[-0.40834309849249795, 0.22787964388698786, 0.02]","[-0.4123787830482888, -0.2069197489278961, 0.02]"
two_block_sort,ID,20008,"[-0.4128196032831664, 0.2178103094151402, 0.02]","[-0.4098183089460818, -0.1959939233685617, 0.02]"
two_block_sort,ID,20009,"[-0.42020742555149876, 0.21274483221405113, 0.02]","[-0.42360517037433276, -0.2027214389146417, 0.02]"
two_block_sort,ID,20010,"[-0.4099243527855204, 0.22623606995647982, 0.02]","[-0.4155497977980308, -0.2099039366793924, 0.02]"
two_block_sort,ID,20011,"[-0.4312403221051052, 0.21999502673376561, 0.02]","[-0.42987714026411883, -0.20529655309666422, 0.02]"
two_block_sort,ID,20012,"[-0.42037983222994973, 0.23136205650554928, 0.02]","[-0.43125899579551097, -0.20374870549374274, 0.02]"
two_block_sort,ID,20013,"[-0.43124415780518766, 0.21506343239188538, 0.02]","[-0.41267355528788685, -0.19288171804946655, 0.02]"
two_block_sort,ID,20014,"[-0.4261604661201605, 0.22641652273625323, 0.02]","[-0.41227286811745767, -0.20243448568374822, 0.02]"
two_block_sort,ID,20015,"[-0.42827144025744623, 0.21471923603556595, 0.02]","[-0.417447377800514, -0.19211703131128885, 0.02]"
two_block_sort,ID,20016,"[-0.41277834581335143, 0.22975374014899785, 0.02]","[-0.4214343973340149, -0.21109611036866635, 0.02]"
two_block_sort,ID,20017,"[-0.4162865208119325, 0.21818453338628313, 0.02]","[-0.4208993451001953, -0.19562567321534105, 0.02]"
two_block_sort,ID,20018,"[-0.4185625322312557, 0.22156686233996628, 0.02]","[-0.42256329858673314, -0.20124703647518416, 0.02]"
two_block_sort,ID,20019,"[-0.4303281737743427, 0.22537645440249637, 0.02]","[-0.42941426102413754, -0.20294347418659406, 0.02]"
two_block_sort,ID,20020,"[-0.42425387836710954, 0.2245941851387237, 0.02]","[-0.42307599546409114, -0.1986769947193602, 0.02]"
two_block_sort,ID,20021,"[-0.4272350794048843, 0.22626045153875282, 0.02]","[-0.42688050929993177, -0.2044462367297421, 0.02]"
two_block_sort,ID,20022,"[-0.42724290595954284, 0.22580909084167577, 0.02]","[-0.4208696307774634, -0.19357695312578518, 0.02]"
two_block_sort,ID,20023,"[-0.41860957639095053, 0.21251162313953492, 0.02]","[-0.4130209078200166, -0.1927706218601001, 0.02]"
two_block_sort,ID,20024,"[-0.42595607359834065, 0.21859898701056052, 0.02]","[-0.43153728360636423, -0.19063750069829757, 0.02]"
two_block_sort,ID,20025,"[-0.421322097190769, 0.21488598262929767, 0.02]","[-0.42078885325614346, -0.2090794218084103, 0.02]"
two_block_sort,ID,20026,"[-0.4305165783167487, 0.22878850955715457, 0.02]","[-0.42410455040122197, -0.1978500232301889, 0.02]"
two_block_sort,ID,20027,"[-0.4264048571586583, 0.2108156089986366, 0.02]","[-0.4209736857123553, -0.1996664138788502, 0.02]"
two_block_sort,ID,20028,"[-0.41488129593494505, 0.21613443323318868, 0.02]","[-0.4276691743525614, -0.19614369373095247, 0.02]"
two_block_sort,ID,20029,"[-0.41648761901004977, 0.2271840466966207, 0.02]","[-0.42854977813979234, -0.20947520071195064, 0.02]"
two_block_sort,OOD,30000,"[-0.446203952080746, 0.24742723926370708, 0.02]","[-0.43594932066482933, -0.2290654566010453, 0.02]"
two_block_sort,OOD,30001,"[-0.44346237721786813, 0.2016004358466622, 0.02]","[-0.4310954531322073, -0.16658296005068216, 0.02]"
two_block_sort,OOD,30002,"[-0.449684346110755, 0.2551658767414756, 0.02]","[-0.4314258099004294, -0.23293193306467253, 0.02]"
two_block_sort,OOD,30003,"[-0.39004251276940916, 0.22075472715352018, 0.02]","[-0.38815959850188947, -0.2269727809175543, 0.02]"
two_block_sort,OOD,30004,"[-0.4473232642440888, 0.2502539981442291, 0.02]","[-0.4447435679069012, -0.23782052831995992, 0.02]"
two_block_sort,OOD,30005,"[-0.3859026141763006, 0.23042813955780045, 0.02]","[-0.4358668073545951, -0.23035475985487505, 0.02]"
two_block_sort,OOD,30006,"[-0.40192509751079414, 0.19688392230703364, 0.02]","[-0.44294088263636316, -0.1965182981272305, 0.02]"
two_block_sort,OOD,30007,"[-0.45580225424153786, 0.2306668722860746, 0.02]","[-0.4088643702506196, -0.22265989008091291, 0.02]"
two_block_sort,OOD,30008,"[-0.45081539173886875, 0.2568667529525762, 0.02]","[-0.44834364139260086, -0.1927906384993352, 0.02]"
two_block_sort,OOD,30009,"[-0.39293725810889246, 0.22113376672436405, 0.02]","[-0.4430542718909739, -0.22307855719081024, 0.02]"
two_block_sort,OOD,30010,"[-0.3878685018013699, 0.21600283764316444, 0.02]","[-0.41170255798505584, -0.16789024940092132, 0.02]"
two_block_sort,OOD,30011,"[-0.4420696772560556, 0.19390274676613395, 0.02]","[-0.43748105425200856, -0.2300974845974902, 0.02]"
two_block_sort,OOD,30012,"[-0.44476311407934127, 0.24471974674331648, 0.02]","[-0.4085008575144819, -0.2311141073835989, 0.02]"
two_block_sort,OOD,30013,"[-0.428160761417895, 0.19378810431911783, 0.02]","[-0.4441919642078772, -0.18954767404718634, 0.02]"
two_block_sort,OOD,30014,"[-0.452366954387184, 0.21187471608550967, 0.02]","[-0.3858019037020156, -0.22809344059759137, 0.02]"
two_block_sort,OOD,30015,"[-0.39397287665043423, 0.19700421946114044, 0.02]","[-0.38775778920739973, -0.19478408471310504, 0.02]"
two_block_sort,OOD,30016,"[-0.415674482799714, 0.18583017642409783, 0.02]","[-0.39870900483979077, -0.23566488146776426, 0.02]"
two_block_sort,OOD,30017,"[-0.38548095441964547, 0.21684610300178359, 0.02]","[-0.42300583322919594, -0.16155501909191788, 0.02]"
two_block_sort,OOD,30018,"[-0.424135943946952, 0.1924692764388601, 0.02]","[-0.4562421731250054, -0.21875935675663172, 0.02]"
two_block_sort,OOD,30019,"[-0.39395686529516805, 0.19609712787855005, 0.02]","[-0.42579102869481694, -0.17603222971637753, 0.02]"
two_block_sort,OOD,30020,"[-0.44870584208149944, 0.18302443876153443, 0.02]","[-0.44935947661605213, -0.1934325133561653, 0.02]"
two_block_sort,OOD,30021,"[-0.4225125226551672, 0.25922087228034707, 0.02]","[-0.455594330263813, -0.16981501776037858, 0.02]"
two_block_sort,OOD,30022,"[-0.45958081932183176, 0.2524737986563856, 0.02]","[-0.4528937629829668, -0.17633995106285466, 0.02]"
two_block_sort,OOD,30023,"[-0.38481048563590053, 0.2572791003628062, 0.02]","[-0.3892233605416283, -0.17239974630646615, 0.02]"
two_block_sort,OOD,30024,"[-0.41787623951454383, 0.2511455371302908, 0.02]","[-0.4448736117573883, -0.16191822681608672, 0.02]"
two_block_sort,OOD,30025,"[-0.4419987817576042, 0.25173585505379936, 0.02]","[-0.44102606888997503, -0.16345113248240362, 0.02]"
two_block_sort,OOD,30026,"[-0.3914603200521343, 0.24181501532688937, 0.02]","[-0.45276965681962755, -0.20538889015395048, 0.02]"
two_block_sort,OOD,30027,"[-0.3819294849517831, 0.20382397071892377, 0.02]","[-0.4440837601534022, -0.23458441722318044, 0.02]"
two_block_sort,OOD,30028,"[-0.4534756802443465, 0.18898204102871652, 0.02]","[-0.42209338063354535, -0.2376813195230934, 0.02]"
two_block_sort,OOD,30029,"[-0.4442263290858705, 0.2442609253726327, 0.02]","[-0.4199530132050364, -0.17673870809362285, 0.02]"
buffer_swap,ID,20100,"[-0.34912173737578694, 0.19558742708023932, 0.02]","[-0.35404133632717355, -0.19814144775896814, 0.02]"
buffer_swap,ID,20101,"[-0.34990389013216866, 0.2042970015174088, 0.02]","[-0.3536330662629634, -0.20491358286863748, 0.02]"
buffer_swap,ID,20102,"[-0.35782726321180486, 0.20693123369500002, 0.02]","[-0.3396816590973706, -0.19791422132307182, 0.02]"
buffer_swap,ID,20103,"[-0.360783942864833, 0.20702132660491748, 0.02]","[-0.3516910656812881, -0.21040148462496736, 0.02]"
buffer_swap,ID,20104,"[-0.3494908213503327, 0.18928222591509827, 0.02]","[-0.3577282829609294, -0.19556195652507347, 0.02]"
buffer_swap,ID,20105,"[-0.35990690970306555, 0.21158291947420815, 0.02]","[-0.34531374001854676, -0.2091179993343846, 0.02]"
buffer_swap,ID,20106,"[-0.35149346251435654, 0.20239837254175297, 0.02]","[-0.34975379704059706, -0.20974765024947536, 0.02]"
buffer_swap,ID,20107,"[-0.343950114809897, 0.21067602125168222, 0.02]","[-0.35220470444138513, -0.1992271438193102, 0.02]"
buffer_swap,ID,20108,"[-0.34498205438204727, 0.19300295072560264, 0.02]","[-0.3429024674240447, -0.21112938626056324, 0.02]"
buffer_swap,ID,20109,"[-0.35395894271681905, 0.20941384140874308, 0.02]","[-0.34907082874017986, -0.20391403016936976, 0.02]"
buffer_swap,ID,20110,"[-0.35925120998470156, 0.20655574481944217, 0.02]","[-0.3438684835148934, -0.1900804504741104, 0.02]"
buffer_swap,ID,20111,"[-0.35746447664237574, 0.20160479854000718, 0.02]","[-0.359982187069694, -0.19259745292262787, 0.02]"
buffer_swap,ID,20112,"[-0.33822493774349727, 0.202563350342234, 0.02]","[-0.3417602937733245, -0.2118145440256697, 0.02]"
buffer_swap,ID,20113,"[-0.3575681868388373, 0.19766999808051375, 0.02]","[-0.34603378979161065, -0.20375118709265722, 0.02]"
buffer_swap,ID,20114,"[-0.3554765851020112, 0.19576186580277977, 0.02]","[-0.35631058462311566, -0.19482487978748542, 0.02]"
buffer_swap,ID,20115,"[-0.3551177879039473, 0.19434528684121538, 0.02]","[-0.3419170237637137, -0.18912068218745978, 0.02]"
buffer_swap,ID,20116,"[-0.3417726196224082, 0.19591271096647433, 0.02]","[-0.3435380222648561, -0.19591676899705915, 0.02]"
buffer_swap,ID,20117,"[-0.35028427443855514, 0.1933599471544897, 0.02]","[-0.34612953520356027, -0.19738297955468415, 0.02]"
buffer_swap,ID,20118,"[-0.352325743522545, 0.18897191249036505, 0.02]","[-0.3417873930827481, -0.20416370144533377, 0.02]"
buffer_swap,ID,20119,"[-0.35315367884528337, 0.1882103939716817, 0.02]","[-0.3482703656408618, -0.21140392763888766, 0.02]"
buffer_swap,ID,20120,"[-0.34454842809915365, 0.2080834868363979, 0.02]","[-0.3562264036072768, -0.19294326609475274, 0.02]"
buffer_swap,ID,20121,"[-0.34100607152035656, 0.19119668727328887, 0.02]","[-0.34916013991037326, -0.19478944218305835, 0.02]"
buffer_swap,ID,20122,"[-0.34890287487439664, 0.20607660375825138, 0.02]","[-0.3466633171048191, -0.19257626706468503, 0.02]"
buffer_swap,ID,20123,"[-0.3604153869650295, 0.1940417401797468, 0.02]","[-0.35383937721389525, -0.19293006430931067, 0.02]"
buffer_swap,ID,20124,"[-0.3588824584125073, 0.1948410876290491, 0.02]","[-0.35472462849531217, -0.20402946442978667, 0.02]"
buffer_swap,ID,20125,"[-0.35298535720159857, 0.1981910292289368, 0.02]","[-0.34110911715339703, -0.2037293860360253, 0.02]"
buffer_swap,ID,20126,"[-0.3393585978610644, 0.21035582279873422, 0.02]","[-0.3495277110427809, -0.2017395084278157, 0.02]"
buffer_swap,ID,20127,"[-0.36175586664905957, 0.2059928836587956, 0.02]","[-0.3408071045526759, -0.21184864072497006, 0.02]"
buffer_swap,ID,20128,"[-0.34504307576366067, 0.21155324526978103, 0.02]","[-0.35135706824319785, -0.19841628419208104, 0.02]"
buffer_swap,ID,20129,"[-0.3380590269382698, 0.1934913010885332, 0.02]","[-0.3492858142350151, -0.19377817239128578, 0.02]"
buffer_swap,OOD,30100,"[-0.32403217659896205, 0.2271319918883416, 0.02]","[-0.38244124839666804, -0.22691779702796774, 0.02]"
buffer_swap,OOD,30101,"[-0.374868349700202, 0.23957692857150634, 0.02]","[-0.3668733776120467, -0.17724440716972556, 0.02]"
buffer_swap,OOD,30102,"[-0.3258914274192735, 0.2287801774102078, 0.02]","[-0.3619574434737782, -0.1615968208248521, 0.02]"
buffer_swap,OOD,30103,"[-0.35319852199538243, 0.1701688031722288, 0.02]","[-0.31802060421014333, -0.18643755035252466, 0.02]"
buffer_swap,OOD,30104,"[-0.37263023360139963, 0.20950881823757644, 0.02]","[-0.3252690379930177, -0.18177482271253392, 0.02]"
buffer_swap,OOD,30105,"[-0.3281519911115743, 0.17072855437595502, 0.02]","[-0.38554264420017986, -0.21405100847366146, 0.02]"
buffer_swap,OOD,30106,"[-0.37586250072286387, 0.17897332453565584, 0.02]","[-0.3101000967509928, -0.19573341556706714, 0.02]"
buffer_swap,OOD,30107,"[-0.3456955788159996, 0.17577020127347476, 0.02]","[-0.31530659659228655, -0.22654599758428567, 0.02]"
buffer_swap,OOD,30108,"[-0.37706781659263877, 0.19531366895508273, 0.02]","[-0.3867325158454802, -0.22901821346838627, 0.02]"
buffer_swap,OOD,30109,"[-0.3114047126599973, 0.23881906070795794, 0.02]","[-0.3547596846109093, -0.2270046188262164, 0.02]"
buffer_swap,OOD,30110,"[-0.372460999345664, 0.16172880958348262, 0.02]","[-0.31470233027401573, -0.17970431442743925, 0.02]"
buffer_swap,OOD,30111,"[-0.31320532543281654, 0.23562405821825588, 0.02]","[-0.35450299069705166, -0.16029802793632622, 0.02]"
buffer_swap,OOD,30112,"[-0.32853801676258665, 0.17314594355245044, 0.02]","[-0.3438618529630602, -0.23614293007348874, 0.02]"
buffer_swap,OOD,30113,"[-0.33801507724696156, 0.17408279922465456, 0.02]","[-0.3752715160874179, -0.1673548900076426, 0.02]"
buffer_swap,OOD,30114,"[-0.3103159337828268, 0.17165784840195467, 0.02]","[-0.3269545677959641, -0.21903947240519478, 0.02]"
buffer_swap,OOD,30115,"[-0.33571556706404754, 0.2339637011627861, 0.02]","[-0.36679678366263474, -0.23274287703614982, 0.02]"
buffer_swap,OOD,30116,"[-0.34555059323766, 0.16678418180404045, 0.02]","[-0.38410969156088676, -0.23406721498008917, 0.02]"
buffer_swap,OOD,30117,"[-0.3809415147594082, 0.22637110525337678, 0.02]","[-0.35332395066255634, -0.1744425353325993, 0.02]"
buffer_swap,OOD,30118,"[-0.3844730932628437, 0.177326369658939, 0.02]","[-0.38321657486470273, -0.22279067643522116, 0.02]"
buffer_swap,OOD,30119,"[-0.3670244017231945, 0.16995859721957304, 0.02]","[-0.3177493823185344, -0.18892832001326432, 0.02]"
buffer_swap,OOD,30120,"[-0.38280599183690744, 0.20240225730228859, 0.02]","[-0.38019985096204767, -0.21172199338198092, 0.02]"
buffer_swap,OOD,30121,"[-0.3228688263895484, 0.1792318783103201, 0.02]","[-0.3624390393148118, -0.23489778668317568, 0.02]"
buffer_swap,OOD,30122,"[-0.31177631145356355, 0.1753636864794647, 0.02]","[-0.31942314356278256, -0.22768929650736233, 0.02]"
buffer_swap,OOD,30123,"[-0.3791694278323347, 0.22379037168104732, 0.02]","[-0.3530506609934383, -0.16518541829684577, 0.02]"
buffer_swap,OOD,30124,"[-0.32013863597830183, 0.23794176159296324, 0.02]","[-0.371628547227102, -0.17452490886528463, 0.02]"
buffer_swap,OOD,30125,"[-0.32033680964343414, 0.22516314498982756, 0.02]","[-0.31450421267240214, -0.20401233181386075, 0.02]"
buffer_swap,OOD,30126,"[-0.3133799856095389, 0.20855150366020028, 0.02]","[-0.34574783828240047, -0.22627129762709391, 0.02]"
buffer_swap,OOD,30127,"[-0.3496778594685785, 0.22883547734855975, 0.02]","[-0.3591436640477419, -0.2313848466115503, 0.02]"
buffer_swap,OOD,30128,"[-0.31891339305413813, 0.21865841355532392, 0.02]","[-0.34534081662069993, -0.17260534343505862, 0.02]"
buffer_swap,OOD,30129,"[-0.3834835933844679, 0.19746542623593122, 0.02]","[-0.34895597351929686, -0.16261310090639466, 0.02]"
unstack_sort,ID,20200,"[-0.3554127768159148, -0.0005102209377247872, 0.02]","[-0.3554127768159148, -0.0005102209377247872, 0.06]"
unstack_sort,ID,20201,"[-0.34791693025268067, -0.009213940159180768, 0.02]","[-0.34791693025268067, -0.009213940159180768, 0.06]"
unstack_sort,ID,20202,"[-0.35336285030722603, 0.003336757865379767, 0.02]","[-0.35336285030722603, 0.003336757865379767, 0.06]"
unstack_sort,ID,20203,"[-0.3469503140502081, 0.007953247545017438, 0.02]","[-0.3469503140502081, 0.007953247545017438, 0.06]"
unstack_sort,ID,20204,"[-0.34095937255930675, -0.009912476807565093, 0.02]","[-0.34095937255930675, -0.009912476807565093, 0.06]"
unstack_sort,ID,20205,"[-0.3472291076436315, 0.010577782568804327, 0.02]","[-0.3472291076436315, 0.010577782568804327, 0.06]"
unstack_sort,ID,20206,"[-0.3456676240072905, -0.010596450999530415, 0.02]","[-0.3456676240072905, -0.010596450999530415, 0.06]"
unstack_sort,ID,20207,"[-0.34015424426427926, 0.0060115081975880905, 0.02]","[-0.34015424426427926, 0.0060115081975880905, 0.06]"
unstack_sort,ID,20208,"[-0.33851798345767037, 0.005419012166411229, 0.02]","[-0.33851798345767037, 0.005419012166411229, 0.06]"
unstack_sort,ID,20209,"[-0.35826142998926297, 0.002830487717418345, 0.02]","[-0.35826142998926297, 0.002830487717418345, 0.06]"
unstack_sort,ID,20210,"[-0.35175681998274827, -0.0021101293047210735, 0.02]","[-0.35175681998274827, -0.0021101293047210735, 0.06]"
unstack_sort,ID,20211,"[-0.3485201984549929, -0.0017405880355058911, 0.02]","[-0.3485201984549929, -0.0017405880355058911, 0.06]"
unstack_sort,ID,20212,"[-0.34071301621377287, 0.0020976058036187035, 0.02]","[-0.34071301621377287, 0.0020976058036187035, 0.06]"
unstack_sort,ID,20213,"[-0.35946395564983186, -0.010299670960420578, 0.02]","[-0.35946395564983186, -0.010299670960420578, 0.06]"
unstack_sort,ID,20214,"[-0.35972427860583867, 0.004465871505160521, 0.02]","[-0.35972427860583867, 0.004465871505160521, 0.06]"
unstack_sort,ID,20215,"[-0.35834828361117904, -0.0014049304561555079, 0.02]","[-0.35834828361117904, -0.0014049304561555079, 0.06]"
unstack_sort,ID,20216,"[-0.36131721710514836, 0.008404768905932065, 0.02]","[-0.36131721710514836, 0.008404768905932065, 0.06]"
unstack_sort,ID,20217,"[-0.36099249219797946, 0.0012017623671648422, 0.02]","[-0.36099249219797946, 0.0012017623671648422, 0.06]"
unstack_sort,ID,20218,"[-0.35193882717987995, -0.0029327935744195635, 0.02]","[-0.35193882717987995, -0.0029327935744195635, 0.06]"
unstack_sort,ID,20219,"[-0.34575304787029143, -0.006625668283115376, 0.02]","[-0.34575304787029143, -0.006625668283115376, 0.06]"
unstack_sort,ID,20220,"[-0.3606059049706266, 0.0034531669082073536, 0.02]","[-0.3606059049706266, 0.0034531669082073536, 0.06]"
