actions,observations,path,sha256,task,trajectory_id,bundle_file
1069,1070,data/exp2/demonstrations_v2/demo1010.json,867210d90fa09b282d5a6190209251c0b69d6e64b6cef2bcaea97951df57711f,drawer_exchange,demo1010,training_data/drawer_exchange/demo1010.json
1065,1066,data/exp2/demonstrations_v2/demo1011.json,126c98245881a8ba6dde2da8707d8396d32d946fa4bbd62535b29d5eecc94eb7,drawer_exchange,demo1011,training_data/drawer_exchange/demo1011.json
773,774,data/exp2/scaleup/two_block_sort/demonstrations/demo10000.json,568b9d08ecc90c99a690c901ed0998fbd905af2ac4128f83b1f50e6e02ac77d0,two_block_sort,demo10000,training_data/two_block_sort/demo10000.json
765,766,data/exp2/scaleup/two_block_sort/demonstrations/demo10001.json,a014f7ae982315522efa47d5ef612d5eaad3a35fe6cbc089764bdd9e4bc26b91,two_block_sort,demo10001,training_data/two_block_sort/demo10001.json
770,771,data/exp2/scaleup/two_block_sort/demonstrations/demo10002.json,be5eebbed4274aef120b6a15cd8e6590077ad80e9ebea1780b42efda058dbe51,two_block_sort,demo10002,training_data/two_block_sort/demo10002.json
756,757,data/exp2/scaleup/two_block_sort/demonstrations/demo10003.json,5025face9e4992ab8b11c166ff77ade3f803c931bcf5a15ab7a35912121250d9,two_block_sort,demo10003,training_data/two_block_sort/demo10003.json
770,771,data/exp2/scaleup/two_block_sort/demonstrations/demo10004.json,bdd6f7d063ea869527924a4189ea815742386cb64f5e49e4eaa10a50d6fb9b3a,two_block_sort,demo10004,training_data/two_block_sort/demo10004.json
771,772,data/exp2/scaleup/two_block_sort/demonstrations/demo10005.json,10fe744977c2c8268b94942cef2437541ee8d1a060b332d7c2e5a06064f9b5c0,two_block_sort,demo10005,training_data/two_block_sort/demo10005.json
773,774,data/exp2/scaleup/two_block_sort/demonstrations/demo10006.json,c72efc95bb630ba4695d26a128099dba69a810344433803bb9238911939ff4cb,two_block_sort,demo10006,training_data/two_block_sort/demo10006.json
760,761,data/exp2/scaleup/two_block_sort/demonstrations/demo10007.json,a09898434a30e8a3de934966028cad6ca660705045522086b4a27df8bb256918,two_block_sort,demo10007,training_data/two_block_sort/demo10007.json
775,776,data/exp2/scaleup/two_block_sort/demonstrations/demo10008.json,a52451b885048ccd847106a3f5eb514520828e9f5ace6f445b3f64340c325a9d,two_block_sort,demo10008,training_data/two_block_sort/demo10008.json
773,774,data/exp2/scaleup/two_block_sort/demonstrations/demo10009.json,d139b01c2419e86e82ae85c8bae802a5a745d7c98560b800fa9c3a3927a0310a,two_block_sort,demo10009,training_data/two_block_sort/demo10009.json
774,775,data/exp2/scaleup/two_block_sort/demonstrations/demo10010.json,519d75d04dcf2b5889ea93268d1ce8c63292937e40a5650306bc00fd67cc14a6,two_block_sort,demo10010,training_data/two_block_sort/demo10010.json
777,778,data/exp2/scaleup/two_block_sort/demonstrations/demo10011.json,aee196b9485aa7e4e25e05e1195ac40c2d04e4e79a5bf59cfd5faf566ea6326e,two_block_sort,demo10011,training_data/two_block_sort/demo10011.json
1064,1065,data/exp2/scaleup/buffer_swap/demonstrations/demo10100.json,8143fbe3be71a1c631f5c7749d18b35e22bc92139fcfff7b5ebbf518d6fc335a,buffer_swap,demo10100,training_data/buffer_swap/demo10100.json
1064,1065,data/exp2/scaleup/buffer_swap/demonstrations/demo10101.json,799625b2044bcc28a7a6eea51a4740935e9cf0d9f22b8374ff1e1fd6775609bf,buffer_swap,demo10101,training_data/buffer_swap/demo10101.json
1060,1061,data/exp2/scaleup/buffer_swap/demonstrations/demo10102.json,fa8a632a17305449d85b05f19a29a04268ec6859c9c22eedc08f8a9e98a25917,buffer_swap,demo10102,training_data/buffer_swap/demo10102.json
1065,1066,data/exp2/scaleup/buffer_swap/demonstrations/demo10103.json,bc5327538d11b7263aa843cfbf7cca57e277f228ab83827e6a6be39d17fb7359,buffer_swap,demo10103,training_data/buffer_swap/demo10103.json
1057,1058,data/exp2/scaleup/buffer_swap/demonstrations/demo10104.json,ab4fdca4a826e13907c3634c17d0cedd822e5736cf37113947d7cd86e096a9a8,buffer_swap,demo10104,training_data/buffer_swap/demo10104.json
1056,1057,data/exp2/scaleup/buffer_swap/demonstrations/demo10105.json,8dca03afe82b1247c339dba887d9f2bd2f2de158810338259d17bdcde391146f,buffer_swap,demo10105,training_data/buffer_swap/demo10105.json
1059,1060,data/exp2/scaleup/buffer_swap/demonstrations/demo10106.json,835849cc15e004b22d320f6fdc36d9c0bcc18a5019712e0ea572dff0a4b0c51a,buffer_swap,demo10106,training_data/buffer_swap/demo10106.json
1071,1072,data/exp2/scaleup/buffer_swap/demonstrations/demo10107.json,2ee06e92d7a0502499d2696e463e66a9bc5e58f2c9beab9b4819cfe9a6a4f7a0,buffer_swap,demo10107,training_data/buffer_swap/demo10107.json
1058,1059,data/exp2/scaleup/buffer_swap/demonstrations/demo10108.json,a267623fe0603dff6f918dfd6f2d08e3da5b313580763e0a482af84e38ab43d6,buffer_swap,demo10108,training_data/buffer_swap/demo10108.json
1063,1064,data/exp2/scaleup/buffer_swap/demonstrations/demo10109.json,5e77ab47c4b0b7e0c67997b120e9215fcf9a4473429c62e0207c5dee631be8a6,buffer_swap,demo10109,training_data/buffer_swap/demo10109.json
1064,1065,data/exp2/scaleup/buffer_swap/demonstrations/demo10110.json,cd8edf45f317ef134effd4d03d206a23dba900ec9d39034ba19d0f51242e60a0,buffer_swap,demo10110,training_data/buffer_swap/demo10110.json
1061,1062,data/exp2/scaleup/buffer_swap/demonstrations/demo10111.json,66f8244ef8020adfb90b028d50deb30d29f68dc21258d3981de4adebf3412646,buffer_swap,demo10111,training_data/buffer_swap/demo10111.json
732,733,data/exp2/scaleup/unstack_sort/demonstrations/demo10200.json,907a25e5062deed56b5c3a0052405b5c5e58b905e406fc4d766abc96d66b50a7,unstack_sort,demo10200,training_data/unstack_sort/demo10200.json
717,718,data/exp2/scaleup/unstack_sort/demonstrations/demo10201.json,f543e7179face6fd9d6ff62e9af0ee974f003fd8f344f1714b1467a9e6eb803f,unstack_sort,demo10201,training_data/unstack_sort/demo10201.json
729,730,data/exp2/scaleup/unstack_sort/demonstrations/demo10202.json,905561c7d25d99223d95314ec1f8216a796e9760cfb07f9c7c3c11288c6f2582,unstack_sort,demo10202,training_data/unstack_sort/demo10202.json
728,729,data/exp2/scaleup/unstack_sort/demonstrations/demo10203.json,3f4867e41ae495430a220d20d20067c07997dd086289e90637f8044826ea0411,unstack_sort,demo10203,training_data/unstack_sort/demo10203.json
721,722,data/exp2/scaleup/unstack_sort/demonstrations/demo10204.json,0f0cbfd5286f2db05f4274ac1cb0d085ad8789ceab5634b429edb421d787b115,unstack_sort,demo10204,training_data/unstack_sort/demo10204.json
723,724,data/exp2/scaleup/unstack_sort/demonstrations/demo10205.json,37ce9a5d2515078815ece9507b1e2143d7ca3128cd428865c5d576c786c38804,unstack_sort,demo10205,training_data/unstack_sort/demo10205.json
729,730,data/exp2/scaleup/unstack_sort/demonstrations/demo10206.json,0ab1a86469dc86394397561347559ecbd07df24f0eb2bd2cc944b5b9d7f1a221,unstack_sort,demo10206,training_data/unstack_sort/demo10206.json
739,740,data/exp2/scaleup/unstack_sort/demonstrations/demo10207.json,2f52211b64cabf48cde88b6b7db45f92c58e9bbd5e25491fffe526c08da207e7,unstack_sort,demo10207,training_data/unstack_sort/demo10207.json
737,738,data/exp2/scaleup/unstack_sort/demonstrations/demo10208.json,f61e326e0471e86f79196c073c3bc5dc7c91ea1873cb05355eae26c7db293afa,unstack_sort,demo10208,training_data/unstack_sort/demo10208.json
723,724,data/exp2/scaleup/unstack_sort/demonstrations/demo10209.json,8573919b1c5fc185fdafbe96aec124d20c2140b37dbba7f74e869b3e5facf330,unstack_sort,demo10209,training_data/unstack_sort/demo10209.json
730,731,data/exp2/scaleup/unstack_sort/demonstrations/demo10210.json,8c81d3e2690ae827f038e262064498cbea3aed58757d35a54debfd6a7a1d2001,unstack_sort,demo10210,training_data/unstack_sort/demo10210.json
721,722,data/exp2/scaleup/unstack_sort/demonstrations/demo10211.json,1fc18812a86f4820d0d13a8407d8d17f5ce24c86bea946807a86fffc763f4e47,unstack_sort,demo10211,training_data/unstack_sort/demo10211.json
742,743,data/exp2/scaleup/tray_pack/demonstrations/demo10300.json,8b11249b50fbb65ffec84124f817d9f62332e3c1194acfe9b27926cd81455e05,tray_pack,demo10300,training_data/tray_pack/demo10300.json
742,743,data/exp2/scaleup/tray_pack/demonstrations/demo10301.json,935fddfb0c3edc683e166e7e90419c18e1075e4d0b947fccae73b6f6a2474a83,tray_pack,demo10301,training_data/tray_pack/demo10301.json
752,753,data/exp2/scaleup/tray_pack/demonstrations/demo10302.json,fd47dfd0441429462f0670a9970f401b0e2bc7b856f948134e8677fb2dd4e50c,tray_pack,demo10302,training_data/tray_pack/demo10302.json
743,744,data/exp2/scaleup/tray_pack/demonstrations/demo10303.json,d005ac1ef61515c9be49d296af3e6a2a7e2e416ca73a21d2b9e3782d9e6da656,tray_pack,demo10303,training_data/tray_pack/demo10303.json
737,738,data/exp2/scaleup/tray_pack/demonstrations/demo10304.json,dc380aeb19d2a9b9ba8d1437aabd4c88d2bbb7f23bb06862dea026fbc74986a5,tray_pack,demo10304,training_data/tray_pack/demo10304.json
752,753,data/exp2/scaleup/tray_pack/demonstrations/demo10305.json,5858718c0ce4547f017cb27a2920b5c557e89af7bb10f14d14c54d2551ef87dd,tray_pack,demo10305,training_data/tray_pack/demo10305.json
749,750,data/exp2/scaleup/tray_pack/demonstrations/demo10306.json,9d54aaeec42509804076770d9fead3e02b00b2750836208d6277be9d6ff7bae1,tray_pack,demo10306,training_data/tray_pack/demo10306.json
730,731,data/exp2/scaleup/tray_pack/demonstrations/demo10307.json,31e7304114b6871b987193cd5cd7f961de61115e987889facda9a1471a553843,tray_pack,demo10307,training_data/tray_pack/demo10307.json
737,738,data/exp2/scaleup/tray_pack/demonstrations/demo10308.json,5e82a2c77432bc12e90db1f7325fbd8b845e3fec2a3117a2f77b52c02ec2e6f3,tray_pack,demo10308,training_data/tray_pack/demo10308.json
741,742,data/exp2/scaleup/tray_pack/demonstrations/demo10309.json,28797b3ea3d98198477e5484f424f53f46739e214cd8635f716e9fc6c046ef6e,tray_pack,demo10309,training_data/tray_pack/demo10309.json
730,731,data/exp2/scaleup/tray_pack/demonstrations/demo10310.json,a630426b0107bb066d2087f76462985157214df68b68b121b55b618484ed8bed,tray_pack,demo10310,training_data/tray_pack/demo10310.json
742,743,data/exp2/scaleup/tray_pack/demonstrations/demo10311.json,1218009057a2d11bc69f4f524e763ffbe2c3e24a5ad66915116e414bb3491055,tray_pack,demo10311,training_data/tray_pack/demo10311.json
